name,fir_size,buffer_size,mac,result,max_error_e6,count,min_cycles,max_cycles,avg_cycles,min_nsec,max_nsec,avg_nsec,min_mac_per_cycle,max_mac_per_cycle,avg_mac_per_cycle,min_mac_per_nsec,max_mac_per_nsec,avg_mac_per_nsec
FIR.opt,2048,128,262144,OK,5.125999e-6,63.000000,111462.000000,136713.000000,111948.000000,74308.000000,91142.000000,74632.000000,1.917477,2.351869,2.341659,2.876215,3.527803,3.512488
FIR.cmsis,2048,128,262144,OK,0.953674e-6,63.000000,223961.000000,236573.000000,224583.000000,149307.000000,157715.000000,149722.000000,1.108089,1.170490,1.167248,1.662137,1.755738,1.750872
FIR.basic_cache_thrash,2048,128,262144,OK,4.410744e-6,63.000000,492318.000000,505929.000000,493818.000000,328212.000000,337286.000000,329212.000000,0.518144,0.532469,0.530851,0.777216,0.798703,0.796277
FIR.opt_cache_thrash,2048,128,262144,OK,5.125999e-6,63.000000,111852.000000,140741.000000,113031.000000,74568.000000,93827.000000,75354.000000,1.862599,2.343668,2.319222,2.793908,3.515503,3.478833
FIR.basic,4096,8,32768,OK,4.768372e-6,1023.000000,63711.000000,76710.000000,64182.000000,42474.000000,51140.000000,42788.000000,0.427167,0.514322,0.510548,0.640751,0.771484,0.765822
FIR.basic_restrict,4096,8,32768,OK,4.768372e-6,1023.000000,73518.000000,89880.000000,73986.000000,49012.000000,59920.000000,49324.000000,0.364575,0.445714,0.442895,0.546862,0.668571,0.664342
FIR.circular,4096,8,32768,OK,0.953674e-6,1023.000000,262182.000000,274766.000000,262695.000000,174788.000000,183177.000000,175130.000000,0.119258,0.124982,0.124738,0.178887,0.187473,0.187107
FIR.circular_restrict,4096,8,32768,OK,0.953674e-6,1023.000000,262182.000000,275045.000000,262688.000000,174788.000000,183363.000000,175125.000000,0.119137,0.124982,0.124741,0.178706,0.187473,0.187112
FIR.opt,4096,8,32768,OK,4.649162e-6,1023.000000,16019.000000,29490.000000,16223.000000,10679.000000,19660.000000,10815.000000,1.111156,2.045571,2.019848,1.666734,3.068452,3.029866
FIR.cmsis,4096,8,32768,OK,0.953674e-6,1023.000000,30575.000000,43796.000000,30735.000000,20383.000000,29197.000000,20490.000000,0.748196,1.071725,1.066146,1.122307,1.607614,1.599219
FIR.basic_cache_thrash,4096,8,32768,OK,4.768372e-6,1023.000000,63992.000000,110435.000000,65019.000000,42661.000000,73623.000000,43346.000000,0.296718,0.512064,0.503976,0.445078,0.768102,0.755964
FIR.opt_cache_thrash,4096,8,32768,OK,4.649162e-6,1023.000000,16380.000000,69770.000000,19806.000000,10920.000000,46513.000000,13204.000000,0.469657,2.000489,1.654448,0.704491,3.000733,2.481672
FIR.basic,4096,16,65536,OK,4.768372e-6,511.000000,125178.000000,139095.000000,126012.000000,83452.000000,92730.000000,84008.000000,0.471160,0.523542,0.520077,0.706740,0.785314,0.780116
FIR.basic_restrict,4096,16,65536,OK,4.768372e-6,511.000000,144711.000000,75498088.000000,292998.000000,96474.000000,50332056.000000,195332.000000,0.000868,0.452875,0.223674,0.001302,0.679313,0.335511
FIR.circular,4096,16,65536,OK,0.953674e-6,511.000000,524346.000000,535569.000000,525306.000000,349564.000000,357046.000000,350204.000000,0.122367,0.124986,0.124758,0.183551,0.187479,0.187137
FIR.circular_restrict,4096,16,65536,OK,0.953674e-6,511.000000,524346.000000,535596.000000,525332.000000,349564.000000,357064.000000,350221.000000,0.122361,0.124986,0.124752,0.183541,0.187479,0.187128
FIR.opt,4096,16,65536,OK,4.649162e-6,511.000000,29964.000000,48464.000000,30197.000000,19976.000000,32309.000000,20131.000000,1.352261,2.187158,2.170282,2.028413,3.280737,3.255477
FIR.cmsis,4096,16,65536,OK,0.953674e-6,511.000000,58463.000000,73019.000000,58706.000000,38975.000000,48679.000000,39137.000000,0.897520,1.120983,1.116342,1.346289,1.681488,1.674528
FIR.basic_cache_thrash,4096,16,65536,OK,4.768372e-6,511.000000,125324.000000,151656.000000,127092.000000,83549.000000,101104.000000,84728.000000,0.432136,0.522933,0.515658,0.648204,0.784402,0.773487
FIR.opt_cache_thrash,4096,16,65536,OK,4.649162e-6,511.000000,30630.000000,89019.000000,34619.000000,20420.000000,59346.000000,23079.000000,0.736202,2.139602,1.893064,1.104304,3.209403,2.839638
FIR.basic,4096,32,131072,OK,4.768372e-6,255.000000,247823.000000,302682.000000,249768.000000,165215.000000,201788.000000,166512.000000,0.433035,0.528894,0.524775,0.649553,0.793342,0.787162
FIR.basic_restrict,4096,32,131072,OK,4.768372e-6,255.000000,287016.000000,300878.000000,288786.000000,191344.000000,200585.000000,192524.000000,0.435632,0.456671,0.453872,0.653449,0.685007,0.680809
FIR.circular,4096,32,131072,OK,0.953674e-6,255.000000,1048644.000000,1061312.000000,1050617.000000,699096.000000,707541.000000,700411.000000,0.123500,0.124992,0.124757,0.185250,0.187488,0.187136
FIR.circular_restrict,4096,32,131072,OK,0.953674e-6,255.000000,1048644.000000,1059978.000000,1050557.000000,699096.000000,706652.000000,700371.000000,0.123655,0.124992,0.124764,0.185483,0.187488,0.187147
FIR.opt,4096,32,131072,OK,4.649162e-6,255.000000,57659.000000,70103.000000,57984.000000,38439.000000,46735.000000,38656.000000,1.869706,2.273227,2.260486,2.804579,3.409870,3.390728
FIR.cmsis,4096,32,131072,OK,0.953674e-6,255.000000,114129.000000,127740.000000,114579.000000,76086.000000,85160.000000,76386.000000,1.026084,1.148455,1.143944,1.539126,1.722682,1.715917
FIR.basic_cache_thrash,4096,32,131072,OK,4.768372e-6,255.000000,248127.000000,268403.000000,250662.000000,165418.000000,178935.000000,167108.000000,0.488340,0.528246,0.522903,0.732512,0.792368,0.784355
FIR.opt_cache_thrash,4096,32,131072,OK,4.649162e-6,255.000000,62075.000000,111296.000000,63543.000000,41383.000000,74197.000000,42362.000000,1.177688,2.111510,2.062729,1.766540,3.167291,3.094094
FIR.basic,4096,64,262144,OK,4.768372e-6,127.000000,494654.000000,529625.000000,497126.000000,329769.000000,353083.000000,331417.000000,0.494962,0.529954,0.527319,0.742443,0.794932,0.790979
FIR.basic_restrict,4096,64,262144,OK,4.768372e-6,127.000000,572346.000000,589845.000000,575508.000000,381564.000000,393230.000000,383672.000000,0.444429,0.458017,0.455500,0.666643,0.687025,0.683250
FIR.circular,4096,64,262144,OK,0.953674e-6,127.000000,2097242.000000,2110466.000000,2101181.000000,1398161.000000,1406977.000000,1400787.000000,0.124211,0.124995,0.124760,0.186317,0.187492,0.187141
FIR.circular_restrict,4096,64,262144,OK,0.953674e-6,127.000000,2097242.000000,2108522.000000,2101064.000000,1398161.000000,1405681.000000,1400709.000000,0.124326,0.124995,0.124767,0.186489,0.187492,0.187151
FIR.opt,4096,64,262144,OK,4.649162e-6,127.000000,113102.000000,125963.000000,113562.000000,75401.000000,83975.000000,75708.000000,2.081119,2.317766,2.308378,3.121691,3.476665,3.462567
FIR.cmsis,4096,64,262144,OK,0.953674e-6,127.000000,225515.000000,237821.000000,226179.000000,150343.000000,158547.000000,150786.000000,1.102274,1.162424,1.159011,1.653415,1.743640,1.738517
FIR.basic_cache_thrash,4096,64,262144,OK,4.768372e-6,127.000000,494541.000000,512763.000000,497898.000000,329694.000000,341842.000000,331932.000000,0.511238,0.530075,0.526501,0.766857,0.795113,0.789752
FIR.opt_cache_thrash,4096,64,262144,OK,4.649162e-6,127.000000,113714.000000,148350.000000,117801.000000,75809.000000,98900.000000,78534.000000,1.767064,2.305292,2.225312,2.650597,3.457953,3.337968
FIR.basic,4096,128,524288,OK,4.768372e-6,63.000000,986837.000000,1002752.000000,991403.000000,657891.000000,668501.000000,660935.000000,0.522849,0.531281,0.528834,0.784274,0.796922,0.793252
FIR.basic_restrict,4096,128,524288,OK,4.768372e-6,63.000000,1142978.000000,1164228.000000,1148852.000000,761985.000000,776152.000000,765901.000000,0.450331,0.458703,0.456358,0.675497,0.688056,0.684538
FIR.circular,4096,128,524288,OK,0.953674e-6,63.000000,4194411.000000,4205717.000000,4202279.000000,2796274.000000,2803811.000000,2801519.000000,0.124661,0.124997,0.124763,0.186991,0.187495,0.187144
FIR.circular_restrict,4096,128,524288,OK,0.953674e-6,63.000000,4194411.000000,79544256.000000,5398481.000000,2796274.000000,53029504.000000,3598987.000000,0.006591,0.124997,0.097118,0.009887,0.187495,0.145677
FIR.opt,4096,128,524288,OK,4.649162e-6,63.000000,224015.000000,242294.000000,225131.000000,149343.000000,161529.000000,150087.000000,2.163851,2.340415,2.328813,3.245782,3.510630,3.493227
FIR.cmsis,4096,128,524288,OK,0.953674e-6,63.000000,448374.000000,461124.000000,449670.000000,298916.000000,307416.000000,299780.000000,1.136978,1.169309,1.165939,1.705467,1.753964,1.748909
FIR.basic_cache_thrash,4096,128,524288,OK,4.768372e-6,63.000000,987842.000000,1022618.000000,993204.000000,658561.000000,681745.000000,662136.000000,0.512692,0.530741,0.527875,0.769038,0.796112,0.791813
FIR.opt_cache_thrash,4096,128,524288,OK,4.649162e-6,63.000000,228212.000000,255488.000000,230211.000000,152141.000000,170325.000000,153474.000000,2.052104,2.297373,2.277424,3.078162,3.446066,3.416136
