name,fir_size,buffer_size,mac,result,max_error_e6,count,min_cycles,max_cycles,avg_cycles,min_nsec,max_nsec,avg_nsec,min_mac_per_cycle,max_mac_per_cycle,avg_mac_per_cycle,min_mac_per_nanosec,max_mac_per_nanosec,avg_mac_per_nanosec
FIR.circular_opt,512,128,65536,OK,2.145767e-6,64,68366,68384,68366,68366,68384,68366,0.958353,0.958605,0.958605,0.958353,0.958605,0.958605
FIR.lib,512,128,65536,OK,2.145767e-6,64,33317,33350,33317,33317,33350,33317,1.965097,1.967044,1.967044,1.965097,1.967044,1.967044
FIR.basic,1024,8,8192,OK,2.861023e-6,1024,16718,16762,16718,16718,16762,16718,0.488725,0.490011,0.490011,0.488725,0.490011,0.490011
FIR.basic_restrict,1024,8,8192,OK,2.861023e-6,1024,16718,16744,16718,16718,16744,16718,0.489250,0.490011,0.490011,0.489250,0.490011,0.490011
FIR.basic_dual_bank,1024,8,8192,OK,2.861023e-6,1024,16718,16746,16718,16718,16746,16718,0.489191,0.490011,0.490011,0.489191,0.490011,0.490011
FIR.basic_aligned,1024,8,8192,OK,2.861023e-6,1024,16718,16739,16718,16718,16739,16718,0.489396,0.490011,0.490011,0.489396,0.490011,0.490011
FIR.basic_loop_cnt,1024,8,8192,OK,2.861023e-6,1024,16651,16682,16651,16651,16682,16651,0.491068,0.491982,0.491982,0.491068,0.491982,0.491982
FIR.circular,1024,8,8192,OK,0.953674e-6,1024,98357,98357,98357,98357,98357,98357,0.083288,0.083288,0.083288,0.083288,0.083288,0.083288
FIR.circular_opt,1024,8,8192,OK,2.622604e-6,1024,8382,8400,8382,8382,8400,8382,0.975238,0.977332,0.977332,0.975238,0.977332,0.977332
FIR.lib,1024,8,8192,OK,2.622604e-6,1024,4225,4258,4225,4225,4258,4225,1.923908,1.938935,1.938935,1.923908,1.938935,1.938935
FIR.basic,1024,16,16384,OK,2.861023e-6,512,25190,25234,25190,25190,25234,25190,0.649283,0.650417,0.650417,0.649283,0.650417,0.650417
FIR.basic_restrict,1024,16,16384,OK,2.861023e-6,512,25190,25216,25190,25190,25216,25190,0.649746,0.650417,0.650417,0.649746,0.650417,0.650417
FIR.basic_dual_bank,1024,16,16384,OK,2.861023e-6,512,25190,25218,25190,25190,25218,25190,0.649695,0.650417,0.650417,0.649695,0.650417,0.650417
FIR.basic_aligned,1024,16,16384,OK,2.861023e-6,512,25190,25211,25190,25190,25211,25190,0.649875,0.650417,0.650417,0.649875,0.650417,0.650417
FIR.basic_loop_cnt,1024,16,16384,OK,2.861023e-6,512,25075,25106,25075,25075,25106,25075,0.652593,0.653400,0.653400,0.652593,0.653400,0.653400
FIR.circular,1024,16,16384,OK,0.953674e-6,512,196709,196709,196709,196709,196709,196709,0.083291,0.083291,0.083291,0.083291,0.083291,0.083291
FIR.circular_opt,1024,16,16384,OK,2.622604e-6,512,16750,16768,16750,16750,16768,16750,0.977099,0.978149,0.978149,0.977099,0.978149,0.978149
FIR.lib,1024,16,16384,OK,2.622604e-6,512,8349,8382,8349,8349,8382,8349,1.954665,1.962391,1.962391,1.954665,1.962391,1.962391
FIR.basic,1024,32,32768,OK,2.861023e-6,256,42134,42178,42134,42134,42178,42134,0.776898,0.777709,0.777709,0.776898,0.777709,0.777709
FIR.basic_restrict,1024,32,32768,OK,2.861023e-6,256,42134,42160,42134,42134,42160,42134,0.777230,0.777709,0.777709,0.777230,0.777709,0.777709
FIR.basic_dual_bank,1024,32,32768,OK,2.861023e-6,256,42134,42162,42134,42134,42162,42134,0.777193,0.777709,0.777709,0.777193,0.777709,0.777709
FIR.basic_aligned,1024,32,32768,OK,2.861023e-6,256,42134,42155,42134,42134,42155,42134,0.777322,0.777709,0.777709,0.777322,0.777709,0.777709
FIR.basic_loop_cnt,1024,32,32768,OK,2.861023e-6,256,41923,41954,41923,41923,41954,41923,0.781046,0.781623,0.781623,0.781046,0.781623,0.781623
FIR.circular,1024,32,32768,OK,0.953674e-6,256,393413,393413,393413,393413,393413,393413,0.083292,0.083292,0.083292,0.083292,0.083292,0.083292
FIR.circular_opt,1024,32,32768,OK,2.622604e-6,256,33486,33504,33486,33486,33504,33486,0.978033,0.978558,0.978558,0.978033,0.978558,0.978558
FIR.lib,1024,32,32768,OK,2.622604e-6,256,16597,16630,16597,16597,16630,16597,1.970415,1.974333,1.974333,1.970415,1.974333,1.974333
FIR.basic,1024,64,65536,OK,2.861023e-6,128,76022,76066,76022,76022,76066,76022,0.861568,0.862066,0.862066,0.861568,0.862066,0.862066
FIR.basic_restrict,1024,64,65536,OK,2.861023e-6,128,76022,76048,76022,76022,76048,76022,0.861772,0.862066,0.862066,0.861772,0.862066,0.862066
FIR.basic_dual_bank,1024,64,65536,OK,2.861023e-6,128,76022,76050,76022,76022,76050,76022,0.861749,0.862066,0.862066,0.861749,0.862066,0.862066
FIR.basic_aligned,1024,64,65536,OK,2.861023e-6,128,76022,76043,76022,76022,76043,76022,0.861828,0.862066,0.862066,0.861828,0.862066,0.862066
FIR.basic_loop_cnt,1024,64,65536,OK,2.861023e-6,128,75619,75650,75619,75619,75650,75619,0.866305,0.866661,0.866661,0.866305,0.866661,0.866661
FIR.circular,1024,64,65536,OK,0.953674e-6,128,786821,786821,786821,786821,786821,786821,0.083292,0.083292,0.083292,0.083292,0.083292,0.083292
FIR.circular_opt,1024,64,65536,OK,2.622604e-6,128,66958,66976,66958,66958,66976,66958,0.978500,0.978763,0.978763,0.978500,0.978763,0.978763
FIR.lib,1024,64,65536,OK,2.622604e-6,128,33093,33126,33093,33093,33126,33093,1.978386,1.980358,1.980358,1.978386,1.980358,1.980358
FIR.basic,1024,128,131072,OK,2.861023e-6,64,143798,143842,143798,143798,143842,143798,0.911222,0.911501,0.911501,0.911222,0.911501,0.911501
FIR.basic_restrict,1024,128,131072,OK,2.861023e-6,64,143798,143824,143798,143798,143824,143798,0.911336,0.911501,0.911501,0.911336,0.911501,0.911501
FIR.basic_dual_bank,1024,128,131072,OK,2.861023e-6,64,143798,143826,143798,143798,143826,143798,0.911323,0.911501,0.911501,0.911323,0.911501,0.911501
FIR.basic_aligned,1024,128,131072,OK,2.861023e-6,64,143798,143819,143798,143798,143819,143798,0.911368,0.911501,0.911501,0.911368,0.911501,0.911501
FIR.basic_loop_cnt,1024,128,131072,OK,2.861023e-6,64,143011,143042,143011,143011,143042,143011,0.916318,0.916517,0.916517,0.916318,0.916517,0.916517
FIR.circular,1024,128,131072,OK,0.953674e-6,64,1573637,1573637,1573637,1573637,1573637,1573637,0.083292,0.083292,0.083292,0.083292,0.083292,0.083292
FIR.circular_opt,1024,128,131072,OK,2.622604e-6,64,133902,133920,133902,133902,133920,133902,0.978734,0.978865,0.978865,0.978734,0.978865,0.978865
FIR.lib,1024,128,131072,OK,2.622604e-6,64,66085,66118,66085,66085,66118,66085,1.982395,1.983385,1.983385,1.982395,1.983385,1.983385
FIR.basic,2048,8,16384,OK,4.529953e-6,1024,33102,33146,33102,33102,33146,33102,0.494298,0.494955,0.494955,0.494298,0.494955,0.494955
FIR.basic_restrict,2048,8,16384,OK,4.529953e-6,1024,33102,33128,33102,33102,33128,33102,0.494567,0.494955,0.494955,0.494567,0.494955,0.494955
FIR.basic_dual_bank,2048,8,16384,OK,4.529953e-6,1024,33102,33130,33102,33102,33130,33102,0.494537,0.494955,0.494955,0.494537,0.494955,0.494955
FIR.basic_aligned,2048,8,16384,OK,4.529953e-6,1024,33102,33123,33102,33102,33123,33102,0.494641,0.494955,0.494955,0.494641,0.494955,0.494955
FIR.basic_loop_cnt,2048,8,16384,OK,4.529953e-6,1024,33035,33066,33035,33035,33066,33035,0.495494,0.495959,0.495959,0.495494,0.495959,0.495959
FIR.circular,2048,8,16384,OK,0.953674e-6,1024,196661,196661,196661,196661,196661,196661,0.083311,0.083311,0.083311,0.083311,0.083311,0.083311
FIR.circular_opt,2048,8,16384,OK,4.768372e-6,1024,16574,16592,16574,16574,16592,16574,0.987464,0.988536,0.988536,0.987464,0.988536,0.988536
FIR.lib,2048,8,16384,OK,4.768372e-6,1024,8321,8354,8321,8321,8354,8321,1.961216,1.968994,1.968994,1.961216,1.968994,1.968994
FIR.basic,2048,16,32768,OK,4.529953e-6,512,49766,49810,49766,49766,49810,49766,0.657860,0.658442,0.658442,0.657860,0.658442,0.658442
FIR.basic_restrict,2048,16,32768,OK,4.529953e-6,512,49766,49792,49766,49766,49792,49766,0.658098,0.658442,0.658442,0.658098,0.658442,0.658442
FIR.basic_dual_bank,2048,16,32768,OK,4.529953e-6,512,49766,49794,49766,49766,49794,49766,0.658071,0.658442,0.658442,0.658071,0.658442,0.658442
FIR.basic_aligned,2048,16,32768,OK,4.529953e-6,512,49766,49787,49766,49766,49787,49766,0.658164,0.658442,0.658442,0.658164,0.658442,0.658442
FIR.basic_loop_cnt,2048,16,32768,OK,4.529953e-6,512,49651,49682,49651,49651,49682,49651,0.659555,0.659967,0.659967,0.659555,0.659967,0.659967
FIR.circular,2048,16,32768,OK,0.953674e-6,512,393317,393317,393317,393317,393317,393317,0.083312,0.083312,0.083312,0.083312,0.083312,0.083312
FIR.circular_opt,2048,16,32768,OK,4.768372e-6,512,33134,33152,33134,33134,33152,33134,0.988417,0.988954,0.988954,0.988417,0.988954,0.988954
FIR.lib,2048,16,32768,OK,4.768372e-6,512,16541,16574,16541,16541,16574,16541,1.977073,1.981017,1.981017,1.977073,1.981017,1.981017
FIR.basic,2048,32,65536,OK,4.529953e-6,256,83094,83138,83094,83094,83138,83094,0.788280,0.788697,0.788697,0.788280,0.788697,0.788697
FIR.basic_restrict,2048,32,65536,OK,4.529953e-6,256,83094,83120,83094,83094,83120,83094,0.788450,0.788697,0.788697,0.788450,0.788697,0.788697
FIR.basic_dual_bank,2048,32,65536,OK,4.529953e-6,256,83094,83122,83094,83094,83122,83094,0.788431,0.788697,0.788697,0.788431,0.788697,0.788697
FIR.basic_aligned,2048,32,65536,OK,4.529953e-6,256,83094,83115,83094,83094,83115,83094,0.788498,0.788697,0.788697,0.788498,0.788697,0.788697
FIR.basic_loop_cnt,2048,32,65536,OK,4.529953e-6,256,82883,82914,82883,82883,82914,82883,0.790409,0.790705,0.790705,0.790409,0.790705,0.790705
FIR.circular,2048,32,65536,OK,0.953674e-6,256,786629,786629,786629,786629,786629,786629,0.083312,0.083312,0.083312,0.083312,0.083312,0.083312
FIR.circular_opt,2048,32,65536,OK,4.768372e-6,256,66254,66272,66254,66254,66272,66254,0.988894,0.989163,0.989163,0.988894,0.989163,0.989163
FIR.lib,2048,32,65536,OK,4.768372e-6,256,32981,33014,32981,32981,33014,32981,1.985097,1.987083,1.987083,1.985097,1.987083,1.987083
FIR.basic,2048,64,131072,OK,4.529953e-6,128,149750,149794,149750,149750,149794,149750,0.875015,0.875272,0.875272,0.875015,0.875272,0.875272
FIR.basic_restrict,2048,64,131072,OK,4.529953e-6,128,149750,149776,149750,149750,149776,149750,0.875120,0.875272,0.875272,0.875120,0.875272,0.875272
FIR.basic_dual_bank,2048,64,131072,OK,4.529953e-6,128,149750,149778,149750,149750,149778,149750,0.875109,0.875272,0.875272,0.875109,0.875272,0.875272
FIR.basic_aligned,2048,64,131072,OK,4.529953e-6,128,149750,149771,149750,149750,149771,149750,0.875149,0.875272,0.875272,0.875149,0.875272,0.875272
FIR.basic_loop_cnt,2048,64,131072,OK,4.529953e-6,128,149347,149378,149347,149347,149378,149347,0.877452,0.877634,0.877634,0.877452,0.877634,0.877634
FIR.circular,2048,64,131072,OK,0.953674e-6,128,1573253,1573253,1573253,1573253,1573253,1573253,0.083313,0.083313,0.083313,0.083313,0.083313,0.083313
FIR.circular_opt,2048,64,131072,OK,4.768372e-6,128,132494,132512,132494,132494,132512,132494,0.989133,0.989267,0.989267,0.989133,0.989267,0.989267
FIR.lib,2048,64,131072,OK,4.768372e-6,128,65861,65894,65861,65861,65894,65861,1.989134,1.990131,1.990131,1.989134,1.990131,1.990131
FIR.basic,2048,128,262144,OK,4.529953e-6,64,283062,283106,283062,283062,283106,283062,0.925957,0.926101,0.926101,0.925957,0.926101,0.926101
FIR.basic_restrict,2048,128,262144,OK,4.529953e-6,64,283062,283088,283062,283062,283088,283062,0.926016,0.926101,0.926101,0.926016,0.926101,0.926101
FIR.basic_dual_bank,2048,128,262144,OK,4.529953e-6,64,283062,283090,283062,283062,283090,283062,0.926009,0.926101,0.926101,0.926009,0.926101,0.926101
FIR.basic_aligned,2048,128,262144,OK,4.529953e-6,64,283062,283083,283062,283062,283083,283062,0.926032,0.926101,0.926101,0.926032,0.926101,0.926101
FIR.basic_loop_cnt,2048,128,262144,OK,4.529953e-6,64,282275,282306,282275,282275,282306,282275,0.928581,0.928683,0.928683,0.928581,0.928683,0.928683
FIR.circular,2048,128,262144,OK,0.953674e-6,64,3146501,3146501,3146501,3146501,3146501,3146501,0.083313,0.083313,0.083313,0.083313,0.083313,0.083313
FIR.circular_opt,2048,128,262144,OK,4.768372e-6,64,264974,264992,264974,264974,264992,264974,0.989253,0.989320,0.989320,0.989253,0.989320,0.989320
FIR.lib,2048,128,262144,OK,4.768372e-6,64,131621,131654,131621,131621,131654,131621,1.991159,1.991658,1.991658,1.991159,1.991658,1.991658
FIR.basic,4096,8,32768,OK,5.364418e-6,1024,65870,65914,65870,65870,65914,65870,0.497133,0.497465,0.497465,0.497133,0.497465,0.497465
FIR.basic_restrict,4096,8,32768,OK,5.364418e-6,1024,65870,65896,65870,65870,65896,65870,0.497268,0.497465,0.497465,0.497268,0.497465,0.497465
FIR.basic_dual_bank,4096,8,32768,OK,5.364418e-6,1024,65870,65898,65870,65870,65898,65870,0.497253,0.497465,0.497465,0.497253,0.497465,0.497465
FIR.basic_aligned,4096,8,32768,OK,5.364418e-6,1024,65870,65891,65870,65870,65891,65870,0.497306,0.497465,0.497465,0.497306,0.497465,0.497465
FIR.basic_loop_cnt,4096,8,32768,OK,5.364418e-6,1024,65803,65834,65803,65803,65834,65803,0.497737,0.497971,0.497971,0.497737,0.497971,0.497971
FIR.circular,4096,8,32768,OK,0.953674e-6,1024,393269,393269,393269,393269,393269,393269,0.083322,0.083322,0.083322,0.083322,0.083322,0.083322
FIR.circular_opt,4096,8,32768,OK,4.887581e-6,1024,32958,32976,32958,32958,32976,32958,0.993692,0.994235,0.994235,0.993692,0.994235,0.994235
FIR.lib,4096,8,32768,OK,4.887581e-6,1024,16513,16546,16513,16513,16546,16513,1.980418,1.984376,1.984376,1.980418,1.984376,1.984376
FIR.basic,4096,16,65536,OK,5.364418e-6,512,98918,98962,98918,98918,98962,98918,0.662234,0.662529,0.662529,0.662234,0.662529,0.662529
FIR.basic_restrict,4096,16,65536,OK,5.364418e-6,512,98918,98944,98918,98918,98944,98918,0.662355,0.662529,0.662529,0.662355,0.662529,0.662529
FIR.basic_dual_bank,4096,16,65536,OK,5.364418e-6,512,98918,98946,98918,98918,98946,98918,0.662341,0.662529,0.662529,0.662341,0.662529,0.662529
FIR.basic_aligned,4096,16,65536,OK,5.364418e-6,512,98918,98939,98918,98918,98939,98918,0.662388,0.662529,0.662529,0.662388,0.662529,0.662529
FIR.basic_loop_cnt,4096,16,65536,OK,5.364418e-6,512,98803,98834,98803,98803,98834,98803,0.663092,0.663300,0.663300,0.663092,0.663300,0.663300
FIR.circular,4096,16,65536,OK,0.953674e-6,512,786533,786533,786533,786533,786533,786533,0.083323,0.083323,0.083323,0.083323,0.083323,0.083323
FIR.circular_opt,4096,16,65536,OK,4.887581e-6,512,65902,65920,65902,65902,65920,65902,0.994175,0.994446,0.994446,0.994175,0.994446,0.994446
FIR.lib,4096,16,65536,OK,4.887581e-6,512,32925,32958,32925,32925,32958,32925,1.988470,1.990463,1.990463,1.988470,1.990463,1.990463
FIR.basic,4096,32,131072,OK,5.364418e-6,256,165014,165058,165014,165014,165058,165014,0.794097,0.794308,0.794308,0.794097,0.794308,0.794308
FIR.basic_restrict,4096,32,131072,OK,5.364418e-6,256,165014,165040,165014,165014,165040,165014,0.794183,0.794308,0.794308,0.794183,0.794308,0.794308
FIR.basic_dual_bank,4096,32,131072,OK,5.364418e-6,256,165014,165042,165014,165014,165042,165014,0.794174,0.794308,0.794308,0.794174,0.794308,0.794308
FIR.basic_aligned,4096,32,131072,OK,5.364418e-6,256,165014,165035,165014,165014,165035,165014,0.794207,0.794308,0.794308,0.794207,0.794308,0.794308
FIR.basic_loop_cnt,4096,32,131072,OK,5.364418e-6,256,164803,164834,164803,164803,164834,164803,0.795176,0.795325,0.795325,0.795176,0.795325,0.795325
FIR.circular,4096,32,131072,OK,0.953674e-6,256,1573061,1573061,1573061,1573061,1573061,1573061,0.083323,0.083323,0.083323,0.083323,0.083323,0.083323
FIR.circular_opt,4096,32,131072,OK,4.887581e-6,256,131790,131808,131790,131790,131808,131790,0.994416,0.994552,0.994552,0.994416,0.994552,0.994552
FIR.lib,4096,32,131072,OK,4.887581e-6,256,65749,65782,65749,65749,65782,65749,1.992521,1.993521,1.993521,1.992521,1.993521,1.993521
FIR.basic,4096,64,262144,OK,5.364418e-6,128,297206,297250,297206,297206,297250,297206,0.881897,0.882028,0.882028,0.881897,0.882028,0.882028
FIR.basic_restrict,4096,64,262144,OK,5.364418e-6,128,297206,297232,297206,297206,297232,297206,0.881951,0.882028,0.882028,0.881951,0.882028,0.882028
FIR.basic_dual_bank,4096,64,262144,OK,5.364418e-6,128,297206,297234,297206,297206,297234,297206,0.881945,0.882028,0.882028,0.881945,0.882028,0.882028
FIR.basic_aligned,4096,64,262144,OK,5.364418e-6,128,297206,297227,297206,297206,297227,297206,0.881966,0.882028,0.882028,0.881966,0.882028,0.882028
FIR.basic_loop_cnt,4096,64,262144,OK,5.364418e-6,128,296803,296834,296803,296803,296834,296803,0.883133,0.883226,0.883226,0.883133,0.883226,0.883226
FIR.circular,4096,64,262144,OK,0.953674e-6,128,3146117,3146117,3146117,3146117,3146117,3146117,0.083323,0.083323,0.083323,0.083323,0.083323,0.083323
FIR.circular_opt,4096,64,262144,OK,4.887581e-6,128,263566,263584,263566,263566,263584,263566,0.994537,0.994605,0.994605,0.994537,0.994605,0.994605
FIR.lib,4096,64,262144,OK,4.887581e-6,128,131397,131430,131397,131397,131430,131397,1.994552,1.995053,1.995053,1.994552,1.995053,1.995053
FIR.basic,4096,128,524288,OK,5.364418e-6,64,561590,561634,561590,561590,561634,561590,0.933505,0.933578,0.933578,0.933505,0.933578,0.933578
FIR.basic_restrict,4096,128,524288,OK,5.364418e-6,64,561590,561616,561590,561590,561616,561590,0.933535,0.933578,0.933578,0.933535,0.933578,0.933578
FIR.basic_dual_bank,4096,128,524288,OK,5.364418e-6,64,561590,561618,561590,561590,561618,561590,0.933531,0.933578,0.933578,0.933531,0.933578,0.933578
FIR.basic_aligned,4096,128,524288,OK,5.364418e-6,64,561590,561611,561590,561590,561611,561590,0.933543,0.933578,0.933578,0.933543,0.933578,0.933578
FIR.basic_loop_cnt,4096,128,524288,OK,5.364418e-6,64,560803,560834,560803,560803,560834,560803,0.934836,0.934888,0.934888,0.934836,0.934888,0.934888
FIR.circular,4096,128,524288,OK,0.953674e-6,64,6292229,6292229,6292229,6292229,6292229,6292229,0.083323,0.083323,0.083323,0.083323,0.083323,0.083323
FIR.circular_opt,4096,128,524288,OK,4.887581e-6,64,527118,527136,527118,527118,527136,527118,0.994597,0.994631,0.994631,0.994597,0.994631,0.994631
FIR.lib,4096,128,524288,OK,4.887581e-6,64,262693,262726,262693,262693,262726,262693,1.995570,1.995820,1.995820,1.995570,1.995820,1.995820
