name,fir_size,buffer_size,mac,result,max_error_e6,count,min_cycles,max_cycles,avg_cycles,min_nsec,max_nsec,avg_nsec,min_mac_per_cycle,max_mac_per_cycle,avg_mac_per_cycle,min_mac_per_nanosec,max_mac_per_nanosec,avg_mac_per_nanosec
FIR.basic,128,32,4096,OK,1.311302e-6,256,6294,6338,6294,6294,6338,6294,0.646261,0.650779,0.650779,0.646261,0.650779,0.650779
FIR.basic_restrict,128,32,4096,OK,1.311302e-6,256,6294,6320,6294,6294,6320,6294,0.648101,0.650779,0.650779,0.648101,0.650779,0.650779
FIR.basic_dual_bank,128,32,4096,OK,1.311302e-6,256,6294,6322,6294,6294,6322,6294,0.647896,0.650779,0.650779,0.647896,0.650779,0.650779
FIR.basic_aligned,128,32,4096,OK,1.311302e-6,256,6294,6315,6294,6294,6315,6294,0.648614,0.650779,0.650779,0.648614,0.650779,0.650779
FIR.basic_loop_cnt,128,32,4096,OK,1.311302e-6,256,6083,6114,6083,6083,6114,6083,0.669938,0.673352,0.673352,0.669938,0.673352,0.673352
FIR.circular,128,32,4096,OK,1.072884e-6,256,49349,49349,49349,49349,49349,49349,0.083001,0.083001,0.083001,0.083001,0.083001,0.083001
FIR.circular_opt,128,32,4096,OK,1.311302e-6,256,4814,4832,4814,4814,4832,4814,0.847682,0.850852,0.850852,0.847682,0.850852,0.850852
FIR.lib,128,32,4096,OK,1.311302e-6,256,2261,2294,2261,2261,2294,2261,1.785528,1.811588,1.811588,1.785528,1.811588,1.811588
FIR.basic,128,64,8192,OK,1.311302e-6,128,11510,11554,11510,11510,11554,11510,0.709019,0.711729,0.711729,0.709019,0.711729,0.711729
FIR.basic_restrict,128,64,8192,OK,1.311302e-6,128,11510,11536,11510,11510,11536,11510,0.710125,0.711729,0.711729,0.710125,0.711729,0.711729
FIR.basic_dual_bank,128,64,8192,OK,1.311302e-6,128,11510,11538,11510,11510,11538,11510,0.710002,0.711729,0.711729,0.710002,0.711729,0.711729
FIR.basic_aligned,128,64,8192,OK,1.311302e-6,128,11510,11531,11510,11510,11531,11510,0.710433,0.711729,0.711729,0.710433,0.711729,0.711729
